8048378	 	80490f4	0
8048383	 	8048348	1
804834e	 	80490e8	0
4000b488	 4000b525	0
4000b496	 4000b521	0
4000b4b8	 4000b521	0
40007bae	 40007c05	0
40007bb6	 40007c05	0
40007bc1	 40007c05	0
40007bcc	 40007c05	0
40007bd7	 40007c05	0
40007be4	 40007c05	0
40007c03	 40007be6	0
40007c41	 40007c56	1
40007c6e	 40007c43	0
40007c74	 40007c7f	1
40007c86	 40007c43	0
40007c8f	 40007ed1	0
40007cc6	 40007e09	0
40007cda	 40007cfd	1
40007d0f	 40007ce0	0
40007d21	 40007cec	0
40007d38	 40007cec	0
40007d40	 40007d5f	0
400115bc	 400115c7	1
40007d5d	 40007cec	1
40007cf7	 40007dc6	0
40007d0f	 40007ce0	1
40007cea	 40007d11	0
40007cf7	 40007dc6	0
40007d0f	 40007ce0	1
40007cea	 40007d11	0
40007cf7	 40007dc6	1
40007dd0	 40007e09	1
40007e18	 40007c43	0
40007e26	 40007c43	0
400115bc	 400115c7	1
4000c6b9	 4000c6f3	0
4000c6c0	 4000c6e9	0
400115bc	 400115c7	1
4000c6e0	 4000c6f3	0
4000c6e7	 4000c6d0	0
40007e35	 40007c43	1
40007c6e	 40007c43	0
40007c74	 40007c7f	1
40007c86	 40007c43	0
40007c8f	 40007ed1	0
40007cc6	 40007e09	0
40007cda	 40007cfd	1
40007d0f	 40007ce0	0
40007d21	 40007cec	0
40007d38	 40007cec	0
40007d40	 40007d5f	0
400115bc	 400115c7	1
40007d5d	 40007cec	1
40007cf7	 40007dc6	0
40007d0f	 40007ce0	0
40007d21	 40007cec	0
40007d38	 40007cec	0
40007d40	 40007d5f	0
400115bc	 400115c7	1
40007d5d	 40007cec	1
40007cf7	 40007dc6	0
40007d0f	 40007ce0	0
40007d21	 40007cec	0
40007d38	 40007cec	0
40007d40	 40007d5f	0
400115bc	 400115c7	1
40007d5d	 40007cec	1
40007cf7	 40007dc6	0
40007d0f	 40007ce0	0
40007d21	 40007cec	0
40007d38	 40007cec	0
40007d40	 40007d5f	0
400115bc	 400115c7	1
40007d5d	 40007cec	1
40007cf7	 40007dc6	0
40007d0f	 40007ce0	0
40007d21	 40007cec	0
40007d38	 40007cec	0
40007d40	 40007d5f	0
400115bc	 400115c7	0
400115c2	 400115b8	1
400115bc	 400115c7	0
400115c2	 400115b8	1
400115bc	 400115c7	0
400115c2	 400115b8	1
400115bc	 400115c7	0
400115c2	 400115b8	1
400115bc	 400115c7	0
400115c2	 400115b8	1
400115bc	 400115c7	0
400115c2	 400115b8	1
400115bc	 400115c7	0
400115c2	 400115b8	0
40007d5d	 40007cec	0
40007d64	 40007e64	0
40007d6f	 40007ddf	0
40007d9a	 40007eb4	1
400115bc	 400115c7	0
400115c2	 400115b8	1
400115bc	 400115c7	0
400115c2	 400115b8	1
400115bc	 400115c7	0
400115c2	 400115b8	1
400115bc	 400115c7	0
400115c2	 400115b8	1
400115bc	 400115c7	0
400115c2	 400115b8	1
400115bc	 400115c7	0
400115c2	 400115b8	1
400115bc	 400115c7	0
400115c2	 400115b8	1
400115bc	 400115c7	0
400115c2	 400115b8	1
400115bc	 400115c7	0
400115c2	 400115b8	1
400115bc	 400115c7	0
400115c2	 400115b8	0
40007ec6	 40007da0	0
40007ecc	 40007ddf	1
40007deb	 40007e4c	1
4000b4fd	 4000b50a	0
4000b501	 4000b505	0
4000b512	 4000b519	0
4009fe44	 4009fe66	0
400a0acc	 400a0bc2	1
4012c565	 4012c5d7	0
4012c5d5	 4012c570	1
4012c5d5	 4012c570	1
4012c589	 4012c72b	0
4012c5a9	 4012c5a0	1
4012c5a9	 4012c5a0	1
4012c5a9	 4012c5a0	1
4012c5a9	 4012c5a0	1
4012c5a9	 4012c5a0	1
4012c5a9	 4012c5a0	1
4012c5a9	 4012c5a0	1
4012c5a9	 4012c5a0	0
4012c73e	 4012c55e	1
4012c565	 4012c5d7	1
4012c5e7	 4012c55e	1
4012c565	 4012c5d7	1
4012c5e7	 4012c55e	1
4012c565	 4012c5d7	1
4012c5e7	 4012c55e	1
4012c565	 4012c5d7	1
4012c5e7	 4012c55e	1
4012c565	 4012c5d7	1
4012c5e7	 4012c55e	1
4012c565	 4012c5d7	1
4012c5e7	 4012c55e	1
4012c565	 4012c5d7	1
4012c5e7	 4012c55e	1
4012c565	 4012c5d7	1
4012c5e7	 4012c55e	1
4012c565	 4012c5d7	1
4012c5e7	 4012c55e	1
4012c565	 4012c5d7	1
4012c5e7	 4012c55e	1
4012c565	 4012c5d7	1
4012c5e7	 4012c55e	1
4012c565	 4012c5d7	1
4012c5e7	 4012c55e	1
4012c565	 4012c5d7	1
4012c5e7	 4012c55e	1
4012c565	 4012c5d7	1
4012c5e7	 4012c55e	1
4012c565	 4012c5d7	1
4012c5e7	 4012c55e	0
4012c5f4	 4012c70d	0
4012c614	 4012c7a2	0
4012c640	 4012c651	0
4012c681	 4012c6b3	0
4012c688	 4012c68e	0
4012c68c	 4012c695	0
4012c681	 4012c6b3	0
4012c688	 4012c68e	0
4012c68c	 4012c695	0
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	0
4012c68c	 4012c695	0
4012c681	 4012c6b3	0
4012c688	 4012c68e	0
4012c68c	 4012c695	0
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
4012c681	 4012c6b3	0
4012c688	 4012c68e	1
